Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment
1148,94,19,118.75999999999999,3,4,4,344
1149,18,7,34.6,4,2,1,421
1150,26,10,54.4,4,3,2,432
1151,104,5,68.8,3,1,2,312
1152,164,8,83.05,2,2,3,223
1153,22,17,101.5,4,4,3,443
1154,227,9,35.2,2,2,1,221
1155,3,8,89.30000000000001,4,2,3,423
1156,108,2,24.0,3,1,1,311
1157,452,7,136.9,1,2,4,124
1158,74,11,49.10000000000001,3,3,2,332
1159,199,6,25.450000000000003,2,1,1,211
1160,40,15,118.51,4,4,4,444
1161,291,7,78.3,1,2,3,123
1162,146,12,113.5,2,3,3,233
1163,16,9,54.1,4,2,2,422
1164,275,5,31.1,2,1,1,211
1165,1,9,136.2,4,2,4,424
1166,575,4,29.1,1,1,1,111
1167,317,4,23.5,1,1,1,111
1168,299,9,86.60000000000001,1,2,3,123
1169,380,21,284.8,1,4,4,144
1170,29,20,184.44,4,4,4,444
1171,239,10,75.3,2,3,3,233
1173,69,9,36.50000000000001,3,2,1,321
1174,322,11,59.89999999999999,1,3,2,132
1175,183,19,222.36000000000004,2,4,4,244
1176,135,14,96.64999999999998,3,4,3,343
1177,77,4,10.450000000000001,3,1,1,311
1178,45,11,114.24000000000001,4,3,3,433
1179,475,5,112.6,1,1,3,113
1180,493,4,9.9,1,1,1,111
1181,44,8,38.2,4,2,1,421
1182,31,16,199.82,4,4,4,444
1183,184,16,97.59999999999998,2,4,3,243
1184,197,5,43.5,2,1,1,211
1185,128,10,108.89999999999999,3,3,3,333
1186,248,9,51.83,2,2,2,222
1187,18,7,14.77,4,2,1,421
1188,355,8,69.7,1,2,2,122
1189,544,4,30.549999999999997,1,1,1,111
1190,64,17,161.10000000000005,3,4,4,344
1191,144,6,100.60000000000001,2,1,3,213
1192,355,5,28.400000000000002,1,1,1,111
1193,48,4,22.56,4,1,1,411
1194,231,9,73.20000000000002,2,2,2,222
1195,56,6,64.06,4,1,2,412
1196,33,8,34.42,4,2,1,421
1197,38,18,153.60000000000002,4,4,4,444
1198,333,7,167.9,1,2,4,124
1199,20,13,57.50000000000001,4,3,2,432
1200,95,8,26.050000000000004,3,2,1,321
1201,401,4,34.8,1,1,1,111
1202,161,10,61.599999999999994,2,3,2,232
1204,160,16,142.09999999999997,2,4,4,244
1205,291,10,69.10000000000001,1,3,2,132
1206,229,14,96.6,2,4,3,243
1207,46,8,62.06,4,2,2,422
1208,14,11,171.45999999999998,4,3,4,434
1209,414,9,121.29,1,2,4,124
1211,220,16,107.75000000000001,2,4,3,243
1212,152,8,68.4,2,2,2,222
1213,107,13,123.69999999999999,3,3,4,334
1214,354,6,58.9,1,1,2,112
1215,346,9,76.71000000000001,1,2,3,123
1216,127,14,183.20000000000005,3,4,4,344
1217,315,8,68.60000000000001,1,2,2,122
1218,1,21,198.7,4,4,4,444
1219,454,4,32.6,1,1,1,111
1220,1,17,186.05,4,4,4,444
1221,410,2,1.7,1,1,1,111
1222,97,4,16.8,3,1,1,311
1223,30,10,61.6,4,3,2,432
1224,466,4,83.30000000000001,1,1,3,113
1225,224,21,130.6,2,4,4,244
1226,48,10,84.55,4,3,3,433
1227,601,2,7.7,1,1,1,111
1228,310,3,16.6,1,1,1,111
1229,285,8,146.4,1,2,4,124
1230,41,14,67.65,4,4,2,442
1231,64,16,156.00000000000003,3,4,4,344
1232,182,7,33.0,2,2,1,221
1233,139,19,98.35999999999999,3,4,3,343
1234,40,10,74.44,4,3,2,432
1235,215,19,156.98000000000002,2,4,4,244
1236,233,5,40.6,2,1,1,211
1237,265,20,160.79999999999998,2,4,4,244
1238,304,2,27.0,1,1,1,111
1239,121,16,139.0,3,4,4,344
1240,260,13,61.14,2,3,2,232
1241,222,11,156.22,2,3,4,234
1242,16,17,125.11,4,4,4,444
1243,721,2,6.0,1,1,1,111
1244,400,8,39.019999999999996,1,2,1,121
1245,26,20,168.51,4,4,4,444
1246,366,8,57.400000000000006,1,2,2,122
1247,452,4,17.400000000000002,1,1,1,111
1248,15,16,166.65,4,4,4,444
1249,445,5,62.800000000000004,1,1,2,112
1250,448,2,1.3,1,1,1,111
1251,34,3,6.6,4,1,1,411
1252,261,10,104.9,2,3,3,233
1253,193,6,51.940000000000005,2,1,2,212
1254,255,5,115.0,2,1,3,213
1255,460,2,26.799999999999997,1,1,1,111
1256,123,12,99.65000000000002,3,3,3,333
1257,470,4,20.0,1,1,1,111
1258,508,6,50.900000000000006,1,1,2,112
1259,33,14,220.04000000000002,4,4,4,444
1260,452,4,48.74,1,1,2,112
1261,223,8,47.05,2,2,2,222
1262,526,6,46.6,1,1,2,112
1263,437,4,39.79999999999999,1,1,1,111
1264,23,17,144.99999999999997,4,4,4,444
1265,88,25,279.98999999999995,3,4,4,344
1266,490,2,10.8,1,1,1,111
1267,594,2,15.000000000000002,1,1,1,111
1268,437,9,57.8,1,2,2,122
1269,91,14,123.62,3,4,4,344
1270,249,6,67.05999999999999,2,1,2,212
1272,521,2,28.8,1,1,1,111
1273,240,4,24.6,2,1,1,211
1274,538,7,63.88,1,2,2,122
1275,73,24,152.56,3,4,4,344
1276,37,13,101.5,4,3,3,433
1277,29,15,108.21000000000002,4,4,3,443
1278,21,15,95.2,4,4,3,443
1279,111,17,112.9,3,4,3,343
1280,140,8,47.1,3,2,2,322
1281,211,9,91.9,2,2,3,223
1282,42,10,40.7,4,3,1,431
1283,47,17,145.20000000000002,4,4,4,444
1284,485,4,25.6,1,1,1,111
1285,162,14,107.4,2,4,3,243
1286,140,16,124.45000000000002,3,4,4,344
1287,124,17,180.92,3,4,4,344
1288,458,7,92.68,1,2,3,123
1289,52,11,125.9,4,3,4,434
1290,99,13,107.5,3,3,3,333
1291,285,12,55.0,1,3,2,132
1292,67,4,22.7,3,1,1,311
1293,65,11,93.46000000000001,3,3,3,333
1294,373,12,120.39999999999998,1,3,4,134
1295,160,8,62.35,2,2,2,222
1296,37,17,154.34,4,4,4,444
1297,382,9,108.15,1,2,3,123
1298,156,7,60.800000000000004,2,2,2,222
1299,210,8,23.100000000000005,2,2,1,221
1300,482,2,21.0,1,1,1,111
1301,57,7,54.0,4,2,2,422
1302,92,10,56.96000000000001,3,3,2,332
1303,113,14,82.0,3,4,3,343
1304,135,7,68.5,3,2,2,322
1305,220,12,114.3,2,3,3,233
1306,40,9,58.190000000000005,4,2,2,422
1307,191,12,66.70000000000002,2,3,2,232
1308,291,8,89.4,1,2,3,123
1309,273,11,88.35000000000001,2,3,3,233
1310,403,4,12.4,1,1,1,111
1311,184,8,79.5,2,2,3,223
1312,226,14,197.79999999999995,2,4,4,244
1313,5,2,17.3,4,1,1,411
1314,481,2,2.9000000000000004,1,1,1,111
1315,53,6,82.0,4,1,3,413
1316,279,6,49.6,2,1,2,212
1317,522,6,32.540000000000006,1,1,1,111
1318,95,5,51.300000000000004,3,1,2,312
1319,134,9,63.800000000000004,3,2,2,322
1320,345,10,90.72,1,3,3,133
1321,261,5,14.6,2,1,1,211
1322,72,15,140.64000000000001,3,4,4,344
1323,57,8,40.89999999999999,4,2,1,421
1324,3,14,179.2,4,4,4,444
1325,218,9,80.30000000000001,2,2,3,223
1326,51,11,103.80000000000001,4,3,3,433
1327,143,18,136.92000000000002,2,4,4,244
1328,281,10,88.82,1,3,3,133
1329,221,16,146.6,2,4,4,244
1330,58,11,118.40000000000003,3,3,4,334
1331,31,9,61.75,4,2,2,422
1332,28,15,64.10000000000001,4,4,2,442
1333,99,18,145.5,3,4,4,344
1334,206,5,27.0,2,1,1,211
1335,73,12,94.45000000000002,3,3,3,333
1336,270,9,192.85,2,2,4,224
1337,5,4,70.5,4,1,2,412
1338,506,5,25.1,1,1,1,111
1339,32,13,78.5,4,3,3,433
1340,42,14,82.70000000000002,4,4,3,443
1341,61,12,139.39999999999998,3,3,4,334
1342,314,13,132.04999999999998,1,3,4,134
1343,59,10,124.22,3,3,4,334
1344,117,6,26.5,3,1,1,311
1345,162,10,78.36,2,3,3,233
1346,236,7,59.699999999999996,2,2,2,222
1347,106,14,124.39999999999999,3,4,4,344
1348,104,6,58.0,3,1,2,312
1349,17,11,77.52,4,3,3,433
1350,483,6,19.200000000000003,1,1,1,111
1351,307,6,63.099999999999994,1,1,2,112
1352,667,2,24.4,1,1,1,111
1353,324,21,235.39999999999998,1,4,4,144
1354,29,13,74.95,4,3,3,433
1355,102,13,92.70000000000002,3,3,3,333
1356,113,10,131.44,3,3,4,334
1357,115,6,24.300000000000004,3,1,1,311
1358,1,12,98.4,4,3,3,433
1359,580,4,46.4,1,1,2,112
1360,14,16,195.2,4,4,4,444
1361,113,17,100.90000000000002,3,4,3,343
1362,85,5,62.7,3,1,2,312
1363,77,13,96.6,3,3,3,333
1364,152,8,35.4,2,2,1,221
1365,58,12,62.5,3,3,2,332
1366,31,25,224.10000000000002,4,4,4,444
1367,147,5,70.9,2,1,2,212
1368,168,2,33.9,2,1,1,211
1369,394,8,23.6,1,2,1,121
1370,178,13,71.9,2,3,2,232
1371,233,6,90.30000000000001,2,1,3,213
1372,188,10,97.3,2,3,3,233
1373,164,14,153.4,2,4,4,244
1374,147,11,36.800000000000004,2,3,1,231
1375,80,2,7.2,3,1,1,311
1376,183,7,37.58,2,2,1,221
1377,291,11,92.89999999999999,1,3,3,133
1378,79,4,52.5,3,1,2,312
1379,170,28,217.85000000000005,2,4,4,244
1380,39,11,101.1,4,3,3,433
1381,282,15,104.74999999999999,1,4,3,143
1382,92,6,43.0,3,1,1,311
1383,310,6,41.0,1,1,1,111
1384,11,15,86.60000000000001,4,4,3,443
1385,34,15,164.7,4,4,4,444
1386,152,6,54.800000000000004,2,1,2,212
1387,578,6,47.46,1,1,2,112
1388,271,7,44.199999999999996,2,2,2,222
1389,315,8,36.3,1,2,1,121
1390,303,12,99.87,1,3,3,133
1391,131,13,97.40000000000002,3,3,3,333
1392,254,6,85.9,2,1,3,213
1393,491,7,44.15,1,2,2,122
1394,220,4,56.099999999999994,2,1,2,212
1395,79,23,174.64000000000001,3,4,4,344
1396,161,8,106.52,2,2,3,223
1397,9,2,11.8,4,1,1,411
1398,259,8,86.51000000000002,2,2,3,223
1399,385,9,80.1,1,2,3,123
1400,445,2,7.8,1,1,1,111
1401,215,4,13.600000000000001,2,1,1,211
1402,442,4,17.8,1,1,1,111
1403,228,10,68.4,2,3,2,232
1404,241,18,159.5,2,4,4,244
1405,305,6,45.199999999999996,1,1,2,112
1406,2,12,102.19999999999999,4,3,3,433
1407,154,23,261.54999999999995,2,4,4,244
1408,160,7,31.900000000000002,2,2,1,221
1409,155,6,37.06,2,1,1,211
1410,52,27,184.95,4,4,4,444
1411,313,4,70.32000000000001,1,1,2,112
1412,44,12,86.27000000000001,4,3,3,433
1413,381,7,63.8,1,2,2,122
1414,220,2,3.4000000000000004,2,1,1,211
1415,367,4,10.8,1,1,1,111
1416,130,14,137.70000000000002,3,4,4,344
1417,103,10,70.1,3,3,2,332
1418,393,7,38.7,1,2,1,121
1419,267,15,165.49999999999997,2,4,4,244
1420,22,11,82.35000000000001,4,3,3,433
1421,145,11,50.12,2,3,2,232
1422,87,19,152.39999999999998,3,4,4,344
1423,443,6,49.46,1,1,2,112
1424,82,6,79.30000000000001,3,1,3,313
1425,97,10,44.31999999999999,3,3,2,332
1426,175,10,74.04,2,3,2,232
1427,34,16,92.4,4,4,3,443
1428,346,13,107.14,1,3,3,133
1429,326,5,31.1,1,1,1,111
1430,13,16,203.59999999999997,4,4,4,444
1431,53,9,48.300000000000004,4,2,2,422
1432,148,11,96.10000000000001,2,3,3,233
1433,464,4,50.6,1,1,2,112
1434,397,8,49.49999999999999,1,2,2,122
1435,250,15,175.54999999999998,2,4,4,244
1436,304,2,13.49,1,1,1,111
1437,137,4,20.05,3,1,1,311
1438,32,17,188.93999999999997,4,4,4,444
1439,139,3,16.3,3,1,1,311
1440,24,12,102.59999999999998,4,3,3,433
1442,121,13,88.1,3,3,3,333
1443,82,11,93.4,3,3,3,333
1444,1,20,163.32,4,4,4,444
1445,607,6,25.799999999999997,1,1,1,111
1446,484,8,63.260000000000005,1,2,2,122
1447,573,3,29.999999999999996,1,1,1,111
1448,286,4,39.1,1,1,1,111
1449,88,9,54.44999999999999,3,2,2,322
1450,44,16,109.39999999999999,4,4,3,443
1451,337,6,54.559999999999995,1,1,2,112
1452,35,15,191.04,4,4,4,444
1453,404,4,34.8,1,1,1,111
1454,69,11,110.69999999999999,3,3,3,333
1455,287,2,20.4,1,1,1,111
1456,40,18,168.74,4,4,4,444
1457,355,12,139.4,1,3,4,134
1458,128,7,46.900000000000006,3,2,2,322
1459,165,4,32.660000000000004,2,1,1,211
1460,189,10,163.7,2,3,4,234
1461,9,8,77.3,4,2,3,423
1462,462,4,19.7,1,1,1,111
1463,6,6,35.1,4,1,1,411
1464,210,5,21.800000000000004,2,1,1,211
1465,51,17,190.96000000000004,4,4,4,444
1466,29,23,213.4,4,4,4,444
1467,132,5,73.0,3,1,2,312
1468,82,15,105.24,3,4,3,343
1469,489,2,9.5,1,1,1,111
1470,567,2,29.7,1,1,1,111
1471,496,4,16.8,1,1,1,111
1472,102,16,112.60000000000001,3,4,3,343
1473,89,10,93.9,3,3,3,333
1474,154,12,84.80000000000001,2,3,3,233
1475,13,10,106.93,4,3,3,433
1476,126,13,111.83999999999999,3,3,3,333
1477,40,17,172.89999999999998,4,4,4,444
1478,321,8,71.2,1,2,2,122
1479,229,14,95.29,2,4,3,243
1480,39,13,114.44,4,3,3,433
1481,209,4,23.8,2,1,1,211
1482,38,20,115.28,4,4,3,443
1483,186,20,173.61999999999998,2,4,4,244
1484,84,8,143.6,3,2,4,324
1485,171,4,51.9,2,1,2,212
1486,16,17,115.90000000000002,4,4,4,444
1487,423,7,34.900000000000006,1,2,1,121
1488,32,8,96.8,4,2,3,423
1489,190,13,60.70000000000001,2,3,2,232
1490,87,4,45.5,3,1,2,312
1491,0,11,108.40000000000003,4,3,3,433
1492,335,11,98.0,1,3,3,133
1493,90,15,113.7,3,4,3,343
1494,92,16,175.73999999999995,3,4,4,344
1495,355,9,62.49999999999999,1,2,2,122
1496,613,2,16.8,1,1,1,111
1497,81,9,123.41999999999999,3,2,4,324
1498,63,8,56.1,3,2,2,322
1499,51,10,48.50000000000001,4,3,2,432
1500,284,16,127.52,1,4,4,144
1501,135,10,122.6,3,3,4,334
1502,60,7,49.300000000000004,3,2,2,322
1503,135,9,94.5,3,2,3,323
1504,30,11,151.7,4,3,4,434
1505,64,8,100.55999999999999,3,2,3,323
1506,370,5,75.99999999999999,1,1,3,113
1507,191,16,130.60000000000002,2,4,4,244
1508,45,8,35.9,4,2,1,421
1509,0,18,148.4,4,4,4,444
1510,66,18,174.51,3,4,4,344
1511,283,4,40.42,1,1,1,111
1512,101,10,59.21,3,3,2,332
1513,48,10,115.80000000000001,4,3,4,434
1514,128,10,63.540000000000006,3,3,2,332
1515,32,13,93.1,4,3,3,433
1516,336,4,70.72000000000001,1,1,2,112
1517,151,10,56.7,2,3,2,232
1518,19,7,66.45,4,2,2,422
1519,428,2,13.399999999999999,1,1,1,111
1520,307,6,81.5,1,1,3,113
1521,369,6,86.79999999999998,1,1,3,113
1522,371,19,216.19000000000003,1,4,4,144
1523,277,10,124.75000000000001,2,3,4,234
1524,25,10,59.09999999999999,4,3,2,432
1525,431,5,61.1,1,1,2,112
1526,34,11,84.49000000000001,4,3,3,433
1527,0,14,65.89999999999999,4,4,2,442
1528,106,8,85.5,3,2,3,323
1529,196,7,49.7,2,2,2,222
1530,445,5,40.900000000000006,1,1,1,111
1531,345,4,27.7,1,1,1,111
1532,193,6,93.30000000000001,2,1,3,213
1533,53,6,60.14,4,1,2,412
1534,139,18,153.30999999999997,3,4,4,344
1535,180,8,114.35999999999999,2,2,3,223
1536,242,8,60.400000000000006,2,2,2,222
1537,332,5,16.000000000000004,1,1,1,111
1538,30,6,45.55,4,1,2,412
1539,94,5,37.6,3,1,1,311
1540,34,12,130.89999999999998,4,3,4,434
1542,145,13,136.20000000000002,2,3,4,234
1544,308,9,74.16,1,2,2,122
1545,74,7,36.800000000000004,3,2,1,321
1546,361,9,51.8,1,2,2,122
1547,256,7,57.5,2,2,2,222
1548,455,6,45.10000000000001,1,1,2,112
1549,287,9,120.85000000000001,1,2,4,124
1550,230,7,67.95,2,2,2,222
1551,141,13,92.69999999999999,3,3,3,333
1552,720,2,80.1,1,1,3,113
1553,162,14,95.69999999999999,2,4,3,243
1554,223,15,183.5,2,4,4,244
1555,278,2,37.199999999999996,2,1,1,211
1556,578,2,20.9,1,1,1,111
1557,148,4,108.6,2,1,3,213
1558,268,2,15.4,2,1,1,211
1559,88,7,103.00000000000001,3,2,3,323
1560,593,2,1.9,1,1,1,111
1561,158,20,136.14999999999998,2,4,4,244
1562,233,6,66.89999999999999,2,1,2,212
1563,612,5,35.0,1,1,1,111
1564,68,8,83.0,3,2,3,323
1565,16,19,234.79,4,4,4,444
1566,41,21,145.76,4,4,4,444
1567,263,17,192.07999999999998,2,4,4,244
1568,661,4,48.900000000000006,1,1,2,112
1569,589,8,46.400000000000006,1,2,2,122
1570,285,5,41.0,1,1,1,111
1571,220,8,34.5,2,2,1,221
1572,100,20,182.1,3,4,4,344
1573,343,6,36.9,1,1,1,111
1574,148,23,205.7,2,4,4,244
1575,360,10,38.62,1,3,1,131
1577,289,2,32.1,1,1,1,111
1578,190,8,57.2,2,2,2,222
1579,563,2,11.5,1,1,1,111
1580,25,16,53.35,4,4,2,442
1581,139,6,83.7,3,1,3,313
1582,146,6,95.06,2,1,3,213
1583,37,21,164.05000000000004,4,4,4,444
1584,173,16,141.95,2,4,4,244
1585,357,8,38.300000000000004,1,2,1,121
1586,607,6,25.900000000000002,1,1,1,111
1587,182,13,101.62,2,3,3,233
1588,78,8,109.54,3,2,3,323
1589,490,4,46.00000000000001,1,1,2,112
1590,137,6,43.7,3,1,1,311
1591,285,10,103.2,1,3,3,133
1592,397,2,4.3999999999999995,1,1,1,111
1593,144,7,32.6,2,2,1,221
1594,341,6,23.300000000000004,1,1,1,111
1595,86,22,176.90000000000003,3,4,4,344
1596,169,10,35.449999999999996,2,3,1,231
1597,328,8,58.19999999999999,1,2,2,122
1598,303,7,29.200000000000003,1,2,1,121
1599,78,14,79.43999999999998,3,4,3,343
1601,21,6,85.5,4,1,3,413
1602,123,14,148.0,3,4,4,344
1603,91,15,106.74999999999999,3,4,3,343
1604,49,8,48.00000000000001,4,2,2,422
1605,177,11,47.1,2,3,2,232
1606,49,8,128.0,4,2,4,424
1607,444,6,35.76,1,1,1,111
1608,47,18,170.12,4,4,4,444
1609,13,15,203.1,4,4,4,444
1610,218,6,25.7,2,1,1,211
1611,270,10,93.85,2,3,3,233
1612,54,16,102.30000000000001,4,4,3,443
1613,127,15,164.70000000000002,3,4,4,344
1614,70,4,85.42,3,1,3,313
1615,27,12,69.50000000000001,4,3,2,432
1616,22,13,132.0,4,3,4,434
1617,275,9,35.099999999999994,2,2,1,221
1618,150,16,192.72000000000006,2,4,4,244
1619,62,11,132.61,3,3,4,334
1620,132,11,160.10000000000002,3,3,4,334
1621,313,14,150.72,1,4,4,144
1622,294,10,72.96,1,3,2,132
1623,58,12,135.7,3,3,4,334
1624,8,9,150.99999999999997,4,2,4,424
1625,33,18,205.26,4,4,4,444
1626,315,2,4.1,1,1,1,111
1627,263,9,37.00000000000001,2,2,1,221
1628,41,15,118.4,4,4,4,444
1629,205,6,60.89999999999999,2,1,2,212
1630,222,4,16.5,2,1,1,211
1631,138,5,48.6,3,1,2,312
1632,15,14,117.04,4,4,4,444
1633,143,6,32.62,2,1,1,211
1634,27,19,107.3,4,4,3,443
1635,35,6,41.86,4,1,1,411
1636,25,12,119.60000000000001,4,3,4,434
1638,293,8,81.5,1,2,3,123
1639,81,7,114.80000000000001,3,2,3,323
1640,662,4,27.4,1,1,1,111
1641,190,12,94.7,2,3,3,233
1642,458,2,5.9,1,1,1,111
1643,246,4,12.0,2,1,1,211
1644,535,5,62.620000000000005,1,1,2,112
1645,451,5,34.2,1,1,1,111
1646,124,17,151.66,3,4,4,344
1647,10,7,82.88000000000001,4,2,3,423
1648,243,10,89.00000000000001,2,3,3,233
1649,31,18,178.69999999999996,4,4,4,444
1650,551,6,39.800000000000004,1,1,1,111
1651,13,16,220.35,4,4,4,444
1652,288,12,105.5,1,3,3,133
1653,23,18,201.0,4,4,4,444
1654,51,23,247.84,4,4,4,444
1655,40,9,109.10000000000001,4,2,3,423
1656,61,12,107.13999999999999,3,3,3,333
1657,597,6,38.9,1,1,1,111
1658,118,12,113.3,3,3,3,333
1659,30,15,145.5,4,4,4,444
1660,157,7,76.25000000000001,2,2,3,223
1661,52,17,115.15999999999998,4,4,3,443
1662,201,5,29.999999999999996,2,1,1,211
1663,49,13,100.1,4,3,3,433
1664,273,10,57.40000000000001,2,3,2,232
1665,31,6,30.000000000000004,4,1,1,411
1666,259,4,38.699999999999996,2,1,1,211
1667,352,2,41.6,1,1,1,111
1668,131,11,127.19999999999999,3,3,4,334
1669,133,9,52.74,3,2,2,322
1670,38,9,73.5,4,2,2,422
1672,84,6,39.6,3,1,1,311
1673,631,2,13.9,1,1,1,111
1674,26,12,115.55000000000001,4,3,4,434
1676,80,10,57.599999999999994,3,3,2,332
1677,21,11,219.00000000000006,4,3,4,434
1678,46,8,61.4,4,2,2,422
1679,22,11,53.2,4,3,2,432
1680,385,6,67.19999999999999,1,1,2,112
1681,542,6,20.1,1,1,1,111
1682,59,20,155.66,3,4,4,344
1683,132,5,29.2,3,1,1,311
1684,361,8,79.9,1,2,3,123
1685,134,8,26.7,3,2,1,321
1686,594,7,45.300000000000004,1,2,2,122
1687,439,11,85.30000000000001,1,3,3,133
1688,50,2,10.1,4,1,1,411
1689,386,5,54.800000000000004,1,1,2,112
1690,131,16,125.8,3,4,4,344
1692,185,15,121.65,2,4,4,244
